District,Building name,Last date of visit of the case(s),Related cases
Tai Po,"Hei Wo House, Tai Wo Estate",24/07/2022,
Tai Po,"Oi Wo House, Tai Wo Estate",24/07/2022,
Tai Po,"Sun Wo House, Tai Wo Estate",24/07/2022,
Tai Po,"Tsui Wo House, Tai Wo Estate",24/07/2022,
Tai Po,"Lai Wo House, Tai Wo Estate",24/07/2022,
Tai Po,Serenity Villa,24/07/2022,
Tai Po,"Block 11, Serenity Park",24/07/2022,
Tai Po,"Block 18, Serenity Park",24/07/2022,
Tai Po,"Block 1, Serenity Park",24/07/2022,
Tai Po,"Block 3, Serenity Park",24/07/2022,
Tai Po,"Wang Kin House, Wang Fuk Court",24/07/2022,
Tai Po,"Wang Cheong House, Wang Fuk Court",24/07/2022,
Tai Po,"Wang Shing House, Wang Fuk Court",24/07/2022,
Tai Po,"Heng Cheong House, Fu Heng Estate",24/07/2022,
Tai Po,"Heng Wing House, Fu Heng Estate",24/07/2022,
Tai Po,"Heng Tai House, Fu Heng Estate",24/07/2022,
Tai Po,"Heng Tsui House, Fu Heng Estate",24/07/2022,
Tai Po,"Heng Yue House, Fu Heng Estate",24/07/2022,
Tai Po,"Heng Lung House, Fu Heng Estate",24/07/2022,
Tai Po,"Block 2, Full Scene Garden",24/07/2022,
Tai Po,"Shin King House, Fu Shin Estate",24/07/2022,
Tai Po,"Shin Mei House, Fu Shin Estate",24/07/2022,
Tai Po,"Shin Kwan House, Fu Shin Estate",24/07/2022,
Tai Po,"Shin Tsui House, Fu Shin Estate",24/07/2022,
Tai Po,"Shin Lun House, Fu Shin Estate",24/07/2022,
Tai Po,"Ban Tip House, Fu Tip Estate",24/07/2022,
Tai Po,"Block 4, Elegance Garden",24/07/2022,
Tai Po,"Block A, Plover Cove Garden",24/07/2022,
Tai Po,"Block D, Plover Cove Garden",24/07/2022,
Tai Po,"Block E, Plover Cove Garden",24/07/2022,
Tai Po,"Ka Wo House, Po Nga Court",24/07/2022,
Tai Po,"Hing Wo House, Po Nga Court",24/07/2022,
Tai Po,"Yat Wo House, Po Nga Court",24/07/2022,
Tai Po,"Tower 3, Mont Vert",24/07/2022,
Tai Po,"Block 32, Parc Versailles",24/07/2022,
Tai Po,"Block 9, Villa Concerto, Symphony Bay",24/07/2022,
Tai Po,"Block 11, Tiffany Court",24/07/2022,
Tai Po,"Tenth Street, Hong Lok Yuen",24/07/2022,
Tai Po,Hong Lok Villa,24/07/2022,
Tai Po,Kwong On Building,24/07/2022,
Tai Po,"Kwong Shung House, Kwong Fuk Estate",24/07/2022,
Tai Po,"Kwong Chi House, Kwong Fuk Estate",24/07/2022,
Tai Po,"Kwong Yau House, Kwong Fuk Estate",24/07/2022,
Tai Po,Tak Nga Court,24/07/2022,
Tai Po,Yee Yuen Village,24/07/2022,
Tai Po,"Yee Hau House, Yee Nga Court",24/07/2022,
Tai Po,"Yee Shun House, Yee Nga Court",24/07/2022,
Tai Po,"Block 12, The Paragon",24/07/2022,
Tai Po,"Block 17, Classical Gardens",24/07/2022,
Tai Po,"Block 3, Classical Gardens",24/07/2022,
Tai Po,"Hong Yan Court, Sun Hing Garden",24/07/2022,
Tai Po,"Hong Che Court, Sun Hing Garden",24/07/2022,
Tai Po,"Block 5, Uptown Plaza",24/07/2022,
Tai Po,"Fu Cheong Court, Fortune Plaza",24/07/2022,
Tai Po,"Wing Cheong Court, Fortune Plaza",24/07/2022,
Tai Po,"Ming Cheong House, Ming Nga Court",24/07/2022,
Tai Po,"Ming Yan House, Ming Nga Court",24/07/2022,
Tai Po,"King Yuet House, King Nga Court",24/07/2022,
Tai Po,Tony Court,24/07/2022,
Tai Po,Winnye Tower,24/07/2022,
Tai Po,Cheung Muk Tau,24/07/2022,
Tai Po,"Boulevard Du Lac, The Beverly Hills",24/07/2022,
Tai Po,Ting Kok,24/07/2022,
Tai Po,"Nga Man House, Ting Nga Court",24/07/2022,
Tai Po,"Nga Kwan House, Ting Nga Court",24/07/2022,
Tai Po,Tai Hang Chung Sum Wai,24/07/2022,
Tai Po,Tai Hang Au Tsai Tsuen,24/07/2022,
Tai Po,Tai Hang Tsz Tong Tsuen,24/07/2022,
Tai Po,House of Tung Tsz Shan Road,24/07/2022,
Tai Po,"Block B, Treasure Garden",24/07/2022,
Tai Po,"Tower 10, Centra Horizon",24/07/2022,
Tai Po,"Tower 2, Centra Horizon",24/07/2022,
Tai Po,"Tower 12, Providence Peak",24/07/2022,
Tai Po,"Tower 5, Providence Peak",24/07/2022,
Tai Po,Ying Pun Ha Tsuen,24/07/2022,
Tai Po,Pak Kiu Tsai,24/07/2022,
Tai Po,She Shan Tsuen,24/07/2022,
Tai Po,"Block 21, Selecta Garden",24/07/2022,
Tai Po,Trackside Villas,24/07/2022,
Tai Po,"Block I, Trackside Villas",24/07/2022,
Tai Po,Mei Lee Building,24/07/2022,
Tai Po,Care Village,24/07/2022,
Tai Po,Greenwich Garden,24/07/2022,
Tai Po,Tycoon Place,24/07/2022,
Tai Po,Lo Tsz Tin,24/07/2022,
Tai Po,Sai O,24/07/2022,
Tai Po,Che Ha,24/07/2022,
Tai Po,"Tower 20, Mayfair By The Sea I",24/07/2022,
Tai Po,"Tower 9, Mayfair By The Sea I",24/07/2022,
Tai Po,"Wan Hang House, Wan Tau Tong Estate",24/07/2022,
Tai Po,"Wan Loi House, Wan Tau Tong Estate",24/07/2022,
Tai Po,Kam Shek New Village,24/07/2022,
Tai Po,Chung Uk Tsuen,24/07/2022,
Tai Po,"Tower 8, St Martin",24/07/2022,
Tai Po,"Chung Sin House, Chung Nga Court",24/07/2022,
Tai Po,Ma Wo,24/07/2022,
Tai Po,Fung Yuen,24/07/2022,
Tai Po,"Block 11, Deerhill Villas, Deerhill Bay",24/07/2022,
Tai Po,Wong Yue Tan,24/07/2022,
Tai Po,Lung Mei,24/07/2022,
Tai Po,Lung Mei Tsuen,24/07/2022,
Tai Po,Jc Castle,24/07/2022,
Tai Po,Central Plaza,23/07/2022,
Tai Po,Kau Lung Hang Lo Wai,23/07/2022,
Tai Po,Kei Ling Ha San Wai,23/07/2022,
Tai Po,"Block 17, Prince Garden",23/07/2022,
Tai Po,Dragon Cove,23/07/2022,
Tai Po,"Block 1, Eightland Gardens",23/07/2022,
Tai Po,Pun Shan Chau,23/07/2022,
Tai Po,Nam Hang Tsuen,23/07/2022,
Tai Po,Nam Wah Po,23/07/2022,
Tai Po,Wai Tau Tsuen,23/07/2022,
Tai Po,"Block 23, Tai Po Centre",23/07/2022,
Tai Po,"Yee Tak Court, Tai Po Plaza",23/07/2022,
Tai Po,"Yee Fai Court, Tai Po Plaza",23/07/2022,
Tai Po,Tai Po Tau,23/07/2022,
Tai Po,Tai Po Tau Shui Wai,23/07/2022,
Tai Po,Tai Mei Tuk Tsuen,23/07/2022,
Tai Po,"Tower 3, Providence Bay",23/07/2022,
Tai Po,"Tower 3, The Regent",23/07/2022,
Tai Po,"On Wo House, Tai Wo Estate",23/07/2022,
Tai Po,"Kui Wo House, Tai Wo Estate",23/07/2022,
Tai Po,"Fook Wo House, Tai Wo Estate",23/07/2022,
Tai Po,"Block 10, Serenity Park",23/07/2022,
Tai Po,"Block 5, Serenity Park",23/07/2022,
Tai Po,Wan Kee Building,23/07/2022,
Tai Po,"Wang Tai House, Wang Fuk Court",23/07/2022,
Tai Po,"Wang Tao House, Wang Fuk Court",23/07/2022,
Tai Po,"Heng Shing House, Fu Heng Estate",23/07/2022,
Tai Po,"Block 1, Full Scene Garden",23/07/2022,
Tai Po,"Shin Nga House, Fu Shin Estate",23/07/2022,
Tai Po,"Marigold Court, Fuller Garden",23/07/2022,
Tai Po,"Block 2, Elegance Garden",23/07/2022,
Tai Po,"Block 3, Elegance Garden",23/07/2022,
Tai Po,Po Lok Building,23/07/2022,
Tai Po,Shan Tong New Village,23/07/2022,
Tai Po,"Tower 7, Mont Vert",23/07/2022,
Tai Po,"Block 6, Villa Concerto, Symphony Bay",23/07/2022,
Tai Po,"Hong Lok Road East, Hong Lok Yuen",23/07/2022,
Tai Po,"Kwong Wai House, Kwong Fuk Estate",23/07/2022,
Tai Po,"Kwong Lai House, Kwong Fuk Estate",23/07/2022,
Tai Po,San Tong Tsuen,23/07/2022,
Tai Po,San Uk Tsai,23/07/2022,
Tai Po,San Uk Ka,23/07/2022,
Tai Po,"Block 9, Phase 1, Classical Gardens",23/07/2022,
Tai Po,"Block 31, Grand Dynasty View, Classical Gardens",23/07/2022,
Tai Po,"Hong Shing Court, Sun Hing Garden",23/07/2022,
Tai Po,"Block 1, Uptown Plaza",23/07/2022,
Tai Po,"Block 3, Uptown Plaza",23/07/2022,
Tai Po,"Ming Hoi House, Ming Nga Court",23/07/2022,
Tai Po,Lam Tsuen San Tsuen,23/07/2022,
Tai Po,Yung Shue O,23/07/2022,
Tai Po,Cheung Shue Tan,23/07/2022,
Tai Po,Foon Lok Building,23/07/2022,
Tai Po,Ting Kok Tsuen,23/07/2022,
Tai Po,Treasure Spot Garden,23/07/2022,
Tai Po,Sha Lan,23/07/2022,
Tai Po,Hampstead,23/07/2022,
Tai Po,Pan Chung Tsuen,23/07/2022,
Tai Po,"Tower C1, The Horizon",23/07/2022,
Tai Po,"Tower 11, Centra Horizon",23/07/2022,
Tai Po,"Tower 13, Centra Horizon",23/07/2022,
Tai Po,House of The Horizon,23/07/2022,
Tai Po,"Phase 2, Casa Marina",23/07/2022,
Tai Po,River View,23/07/2022,
Tai Po,Ying Pun Ha,23/07/2022,
Tai Po,Pak Tin Kong,23/07/2022,
Tai Po,Fook Ping Mansion,23/07/2022,
Tai Po,Yuet Fat Mansion,23/07/2022,
Tai Po,Mei Sun Building,23/07/2022,
Tai Po,"Block 48, Savanna Garden",23/07/2022,
Tai Po,Old Pan Chung Village,23/07/2022,
Tai Po,"Tower A, La Fontaine",23/07/2022,
Tai Po,Wah Hing Building,23/07/2022,
Tai Po,Che Ha Village,23/07/2022,
Tai Po,"Tower 17, Mayfair By The Sea I",23/07/2022,
Tai Po,"Tower 3, Mayfair By The Sea I",23/07/2022,
Tai Po,"Yat Wing House, Yat Nga Court",23/07/2022,
Tai Po,"Wan Lam House, Wan Tau Tong Estate",23/07/2022,
Tai Po,Kam Pak Building,23/07/2022,
Tai Po,"Tower 1, St Martin",23/07/2022,
Tai Po,"Chung Chun House, Chung Nga Court",23/07/2022,
Tai Po,"Chung Mei House, Chung Nga Court",23/07/2022,
Tai Po,San Tau Kok Tsuen,23/07/2022,
Tai Po,Tseng Tau,22/07/2022,
Tai Po,Gold Reserved Court,22/07/2022,
Tai Po,"Block 3, Eightland Gardens",22/07/2022,
Tai Po,14 Tung Mau Square,22/07/2022,
Tai Po,Pui Kam House,22/07/2022,
Tai Po,"Tai Man House, Tai Yuen Estate",22/07/2022,
Tai Po,"Block 14, Tai Po Centre",22/07/2022,
Tai Po,"Block 15, Tai Po Centre",22/07/2022,
Tai Po,"Block 18, Tai Po Centre",22/07/2022,
Tai Po,"Block 1, Tai Po Centre",22/07/2022,
Tai Po,"Block 21, Tai Po Centre",22/07/2022,
Tai Po,"Block 22, Tai Po Centre",22/07/2022,
Tai Po,"Block 9, Tai Po Centre",22/07/2022,
Tai Po,"Yee Fu Court, Tai Po Plaza",22/07/2022,
Tai Po,"Block 5, Phase 1, Serenity Park",22/07/2022,
Tai Po,"Tower 17, The Regent",22/07/2022,
Tai Po,"Tower 8, The Regent",22/07/2022,
Tai Po,"Block 7, Serenity Park",22/07/2022,
Tai Po,The Golden Gate,22/07/2022,
Tai Po,"Heng Yiu House, Fu Heng Estate",22/07/2022,
Tai Po,65A-67 Fu Shin Street,22/07/2022,
Tai Po,"Po Hing House, Po Heung Estate",22/07/2022,
Tai Po,"Tower 6, Mont Vert",22/07/2022,
Tai Po,"First Street, Hong Lok Yuen",22/07/2022,
Tai Po,"Eleventh Street, Hong Lok Yuen",22/07/2022,
Tai Po,93 Kwong Fuk Road,22/07/2022,
Tai Po,"Kwong Yan House, Kwong Fuk Estate",22/07/2022,
Tai Po,"Kwong Yee House, Kwong Fuk Estate",22/07/2022,
Tai Po,"Yee Dat House, Yee Nga Court",22/07/2022,
Tai Po,Fong Ma Po,22/07/2022,
Tai Po,San Wai Tsai,22/07/2022,
Tai Po,San Wa On Lane,22/07/2022,
Tai Po,"Block 4, Uptown Plaza",22/07/2022,
Tai Po,"King Yan House, King Nga Court",22/07/2022,
Tai Po,Tung Cheong Strett,22/07/2022,
Tai Po,Wing Ming Garden,22/07/2022,
Tai Po,The Beverly Hills,22/07/2022,
Tai Po,Wing Shing Building,22/07/2022,
Tai Po,Sha Po Tsai,22/07/2022,
Tai Po,Pan Chung,22/07/2022,
Tai Po,"Block C, Treasure Garden",22/07/2022,
Tai Po,"Tower 7, Centra Horizon",22/07/2022,
Tai Po,"Block 1, The Paramount",22/07/2022,
Tai Po,"Block A, Beautiful Garden",22/07/2022,
Tai Po,"Block C, Greenery Plaza",22/07/2022,
Tai Po,"Block 1, Evergreen Court",22/07/2022,
Tai Po,Lai Chi Shan,22/07/2022,
Tai Po,Lai Chi Shan Village,22/07/2022,
Tai Po,The Wonderland,22/07/2022,
Tai Po,"Block E, Joyous Villa",22/07/2022,
Tai Po,Sai Keng,22/07/2022,
Tai Po,"Yat Yan House, Yat Nga Court",22/07/2022,
Tai Po,Kam Shan Tsuen,22/07/2022,
Tai Po,Shun King Building,22/07/2022,
Tai Po,"Grantham Hall, The Education University Of Hong Kong",22/07/2022,
Tai Po,Dragon Court,22/07/2022,
Tai Po,Ha Hang Village,21/07/2022,
Tai Po,Ha Wong Yi Au,21/07/2022,
Tai Po,Kei Ling Ha Lo Wai,21/07/2022,
Tai Po,"Tower 6, Solaria",21/07/2022,
Tai Po,Ping Long Village,21/07/2022,
Tai Po,"81 Tai Po Mei, Tai Po, Nt",21/07/2022,
Tai Po,"Block J, Tai Po Garden",21/07/2022,
Tai Po,"Tower 8, Providence Bay",21/07/2022,
Tai Po,"Tower 1, The Regent",21/07/2022,
Tai Po,"Tower 7, The Regent",21/07/2022,
Tai Po,"Block 17, Serenity Park",21/07/2022,
Tai Po,"Block 2, Serenity Park",21/07/2022,
Tai Po,"Wang Chi House, Wang Fuk Court",21/07/2022,
Tai Po,Hilltop Garden,21/07/2022,
Tai Po,"Tower 5, Mont Vert",21/07/2022,
Tai Po,"Tower 9, Mont Vert",21/07/2022,
Tai Po,Po Sam Pai,21/07/2022,
Tai Po,Po Sam Pai Village,21/07/2022,
Tai Po,"Block 20, Parc Versailles",21/07/2022,
Tai Po,"Block 10, Villa Concerto, Symphony Bay",21/07/2022,
Tai Po,"Fifteenth Street, Hong Lok Yuen",21/07/2022,
Tai Po,"Kwong Ping House, Kwong Fuk Estate",21/07/2022,
Tai Po,"Yee Leung House, Yee Nga Court",21/07/2022,
Tai Po,San Uk Tsai Village,21/07/2022,
Tai Po,"Block 21, Classical Gardens",21/07/2022,
Tai Po,"Block 27, Grand Dynasty View, Classical Gardens",21/07/2022,
Tai Po,"Hong Shun Court, Sun Hing Garden",21/07/2022,
Tai Po,"Hong Man Court, Sun Hing Garden",21/07/2022,
Tai Po,"Kwai Cheong Court, Fortune Plaza",21/07/2022,
Tai Po,39 Po Yick Street,21/07/2022,
Tai Po,"Tower 9B, Ontolo",21/07/2022,
Tai Po,Tai Hang Fui Sha Wai,21/07/2022,
Tai Po,Tung Tsz,21/07/2022,
Tai Po,Tung Tsz Shan Road,21/07/2022,
Tai Po,"Tower 1, Phase 2, Centra Horizon",21/07/2022,
Tai Po,"Block 3, Constellation Cove",21/07/2022,
Tai Po,"Block 29, Selecta Garden",21/07/2022,
Tai Po,"Block B, Beautiful Garden",21/07/2022,
Tai Po,"Block A, Jade Plaza",21/07/2022,
Tai Po,Jade View Villa,21/07/2022,
Tai Po,"Block 2, Evergreen Court",21/07/2022,
Tai Po,"Block 45, Savanna Garden",21/07/2022,
Tai Po,Yuk Yin Lau,21/07/2022,
Tai Po,Wah Ga Mansion,21/07/2022,
Tai Po,Kam Shan,21/07/2022,
Tai Po,Tit Mei Tsai,21/07/2022,
Tai Po,"Tower 2, St Martin",21/07/2022,
Tai Po,"Tower 9, St Martin",21/07/2022,
Tai Po,"PH2, The HKFYG Youth Hostel",21/07/2022,
Tai Po,Ha Wun Yiu,20/07/2022,
Tai Po,"Block 6, Prince Garden",20/07/2022,
Tai Po,Tong Min Tsuen,20/07/2022,
Tai Po,"Block E, Tai Po Garden",20/07/2022,
Tai Po,"Tower 16, The Regent",20/07/2022,
Tai Po,"Block 6, Serenity Park",20/07/2022,
Tai Po,"Block 9, Serenity Park",20/07/2022,
Tai Po,"On Dick Building, 21 Wai Yan Street, Tai Po, Nt",20/07/2022,
Tai Po,"Block B, Plover Cove Garden",20/07/2022,
Tai Po,"Po Shun House, Po Heung Estate",20/07/2022,
Tai Po,"Block 28, Parc Versailles",20/07/2022,
Tai Po,"Block 17, Villa Rhapsody, Symphony Bay",20/07/2022,
Tai Po,Villa San de Oka,20/07/2022,
Tai Po,"Yee Lai House, Yee Nga Court",20/07/2022,
Tai Po,San Uk Pai,20/07/2022,
Tai Po,"Block 18, Classical Gardens",20/07/2022,
Tai Po,"Block 2, Classical Gardens",20/07/2022,
Tai Po,Sun Hing Building,20/07/2022,
Tai Po,17 San Wa On Lane,20/07/2022,
Tai Po,"Block 2, Uptown Plaza",20/07/2022,
Tai Po,1 Po Yick Street,20/07/2022,
Tai Po,Tai Hang,20/07/2022,
Tai Po,"Block A, Treasure Garden",20/07/2022,
Tai Po,"Tower 9, Phase 2, Centra Horizon",20/07/2022,
Tai Po,"Tower B1, The Horizon",20/07/2022,
Tai Po,"Tower 12, Centra Horizon",20/07/2022,
Tai Po,"Block C, Jade Plaza",20/07/2022,
Tai Po,"Block D, Jade Plaza",20/07/2022,
Tai Po,"Block A, Greenery Plaza",20/07/2022,
Tai Po,Ma Kwu Lam,20/07/2022,
Tai Po,Fung Yuen Tsuen,20/07/2022,
Tai Po,San Tau Kok,20/07/2022,
Tai Po,Sam Mun Tsai,19/07/2022,
Tai Po,Kau Lung Hang,19/07/2022,
Tai Po,"Tower 5, Solaria",19/07/2022,
Tai Po,"Tower 8, Solaria",19/07/2022,
Tai Po,"Block 17, Tai Po Centre",19/07/2022,
Tai Po,Tai Po Tau Village,19/07/2022,
Tai Po,Tai Tung,19/07/2022,
Tai Po,Tai Wo,19/07/2022,
Tai Po,Tai Mei Tuk,19/07/2022,
Tai Po,"Block 15, Serenity Park",19/07/2022,
Tai Po,"Block 16, Serenity Park",19/07/2022,
Tai Po,"Block 1, Elegance Garden",19/07/2022,
Tai Po,"Tower 8, Mont Vert",19/07/2022,
Tai Po,Kwong Fuk Place,19/07/2022,
Tai Po,13 Kwong Fuk Road,19/07/2022,
Tai Po,5 Kwong Fuk Road,19/07/2022,
Tai Po,Riviera Lodge,19/07/2022,
Tai Po,Shui Wo,19/07/2022,
Tai Po,"Nga Yin House, Ting Nga Court",19/07/2022,
Tai Po,Nai Chung,19/07/2022,
Tai Po,"Tower 11, Providence Peak",19/07/2022,
Tai Po,Yuk Wah Court,19/07/2022,
Tai Po,Tin Liu Ha,19/07/2022,
Tai Po,Luen Yick Fishermen Village,19/07/2022,
Tai Po,Jade Villa,19/07/2022,
Tai Po,Lin Au,19/07/2022,
Tai Po,"Tower 3A, Mayfair By The Sea 8",19/07/2022,
Tai Po,Prosperity Mansion,19/07/2022,
Tai Po,Ma Po Mei,19/07/2022,
Tai Po,Kau Lung Hang San Wai,18/07/2022,
Tai Po,Tseng Tau Tsuen,18/07/2022,
Tai Po,Lee Yee Building,18/07/2022,
Tai Po,Prosperous Villa,18/07/2022,
Tai Po,"Tower 3, Solaria",18/07/2022,
Tai Po,"Tower 7, Solaria",18/07/2022,
Tai Po,"Block 10, Grand Palisades",18/07/2022,
Tai Po,"Block 5, Grand Palisades",18/07/2022,
Tai Po,Tai Wo Village,18/07/2022,
Tai Po,"Tower 15, The Regent",18/07/2022,
Tai Po,Full King Building,18/07/2022,
Tai Po,"Block 2, Villa Concerto, Symphony Bay",18/07/2022,
Tai Po,147 Kwong Fuk Road,18/07/2022,
Tai Po,81 Kwong Fuk Road,18/07/2022,
Tai Po,"Block 26, Grand Dynasty View, Classical Gardens",18/07/2022,
Tai Po,21 San Wa On Lane,18/07/2022,
Tai Po,Sunlight Garden,18/07/2022,
Tai Po,"Wah Cheong Court, Fortune Plaza",18/07/2022,
Tai Po,"Block 1, Springdale Garden",18/07/2022,
Tai Po,11 Tung Cheong Street,18/07/2022,
Tai Po,"Phase 1, Casa Marina",18/07/2022,
Tai Po,Fook On Building,18/07/2022,
Tai Po,"Block 9, Selecta Garden",18/07/2022,
Tai Po,Old Pun Chung Tsuen,18/07/2022,
Tai Po,Kau Liu Ha,18/07/2022,
Tai Po,"Tower 18, Mayfair By The Sea I",18/07/2022,
Tai Po,Bong Hing Building,18/07/2022,
Tai Po,"Tower 5, St Martin",18/07/2022,
Tai Po,"Senior Staff Quarters, The Education University Of Hong Kong",18/07/2022,
Tai Po,88 Square,17/07/2022,
Tai Po,9 Tung Sau Square,17/07/2022,
Tai Po,No.11 Tung Mau Square,17/07/2022,
Tai Po,Wai Tau Tsuen Che Tei,17/07/2022,
Tai Po,"Block 2, Tai Po Centre",17/07/2022,
Tai Po,"Block 6, Tai Po Centre",17/07/2022,
Tai Po,"Block 8, Tai Po Centre",17/07/2022,
Tai Po,"Tower 5, Providence Bay",17/07/2022,
Tai Po,"Wang Sun House, Wang Fuk Court",17/07/2022,
Tai Po,Po Kee Building,17/07/2022,
Tai Po,Po Shing Building,17/07/2022,
Tai Po,"Block 25, Parc Versailles",17/07/2022,
Tai Po,"Block 30, Parc Versailles",17/07/2022,
Tai Po,Wing Fai Garden,17/07/2022,
Tai Po,"Tower 6, Centra Horizon",17/07/2022,
Tai Po,"Tower 9, Providence Peak",17/07/2022,
Tai Po,Mei Tak Building,17/07/2022,
Tai Po,Shuen Wan Chan Uk,17/07/2022,
Tai Po,"Tower 2, Mayfair By The Sea 8",17/07/2022,
Tai Po,"Tower 16, Mayfair By The Sea I",17/07/2022,
Tai Po,The Education University of Hong Kong Senior Staff Quarters,17/07/2022,
Tai Po,"Block 4, Eightland Gardens",16/07/2022,
Tai Po,"Block 1, Emerald Palace",16/07/2022,
Tai Po,Strafford House,16/07/2022,
Tai Po,Tung Mau Square,16/07/2022,
Tai Po,"Block 3, Tai Po Centre",16/07/2022,
Tai Po,"Block 1, Grand Palisades",16/07/2022,
Tai Po,"Block 1, Tai Wo Centre",16/07/2022,
Tai Po,"Block 16, Phase 2, Serenity Park",16/07/2022,
Tai Po,"Block 5, Parc Versailles",16/07/2022,
Tai Po,"Block 6, Villa Rhapsody, Symphony Bay",16/07/2022,
Tai Po,"Block 6, Classical Gardens",16/07/2022,
Tai Po,"Tower 15, Providence Peak",16/07/2022,
Tai Po,"Tower 2, Providence Peak",16/07/2022,
Tai Po,Constellation Cove,16/07/2022,
Tai Po,"Block 2, Constellation Cove",16/07/2022,
Tai Po,Chuk Hang Tsuen,16/07/2022,
Tai Po,Mei Shing Building,16/07/2022,
Tai Po,Jade Garden,16/07/2022,
Tai Po,Shuen Wan Chim Uk,16/07/2022,
Tai Po,"Tower 12, Mayfair By The Sea II",16/07/2022,
Tai Po,Hoi Lin Building,16/07/2022,
Tai Po,Fung Yuen Lo Wai,16/07/2022,
Tai Po,A Shan,16/07/2022,
Tai Po,Sheung Wun Yiu,15/07/2022,
Tai Po,Forest Hill,15/07/2022,
Tai Po,Ping Long Garden,15/07/2022,
Tai Po,"Block 11, Tai Po Centre",15/07/2022,
Tai Po,"Block M, Tai Po Garden",15/07/2022,
Tai Po,"Tower 7B, Ontolo",15/07/2022,
Tai Po,Sha Pa,15/07/2022,
Tai Po,Tai Hang Garden,15/07/2022,
Tai Po,"Block 9, Constellation Cove",15/07/2022,
Tai Po,Meadow Cove,15/07/2022,
Tai Po,"Tower B, La Fontaine",15/07/2022,
Tai Po,Lo Tsz Tin Tsuen,15/07/2022,
Tai Po,Kam Tong Building,15/07/2022,
Tai Po,Chan Uk Village,15/07/2022,
Tai Po,Ko Tong Village,15/07/2022,
Tai Po,1 Nam Shing Street,14/07/2022,
Tai Po,"Block 9, Grand Palisades",14/07/2022,
Tai Po,"Tower 11, The Regent",14/07/2022,
Tai Po,"Tower 12, The Regent",14/07/2022,
Tai Po,"Block 55, Blossom Villas",14/07/2022,
Tai Po,"Wang Yan House, Wang Fuk Court",14/07/2022,
Tai Po,"Block 3, Villa Rhapsody, Symphony Bay",14/07/2022,
Tai Po,San Tong,14/07/2022,
Tai Po,"Block 23, Classical Gardens",14/07/2022,
Tai Po,"Block 2, Phase 2, Classical Gardens",14/07/2022,
Tai Po,"Block 6, Phase 2, Classical Gardens",14/07/2022,
Tai Po,"Block 8, Phase 2, Classical Gardens",14/07/2022,
Tai Po,Nai Chung Tsuen,14/07/2022,
Tai Po,"Tower 10, Providence Peak",14/07/2022,
Tai Po,The Paramount,14/07/2022,
Tai Po,Jockey Club Postgraduate Hall 2,14/07/2022,
Tai Po,Shun On Building,14/07/2022,
Tai Po,Wai Ha,13/07/2022,
Tai Po,"Block 20, Tai Po Centre",13/07/2022,
Tai Po,"Tower 19, The Regent",13/07/2022,
Tai Po,Cheung Fat Building,13/07/2022,
Tai Po,"Tower 6A, Ontolo",13/07/2022,
Tai Po,"Tower 9A, Ontolo",13/07/2022,
Tai Po,TWGHs Pao Siu Loong Care & Attention Home,13/07/2022,
Tai Po,Shui Wai Village,13/07/2022,
Tai Po,Treasure Garden,13/07/2022,
Tai Po,"Block 2, Fook On Building",13/07/2022,
Tai Po,Man Hing Building,13/07/2022,
Tai Po,Kam Fu Building,13/07/2022,
Tai Po,Fortune Garden,13/07/2022,
Tai Po,"Tower 10, St Martin",13/07/2022,
Tai Po,"Tower 11, St Martin",13/07/2022,
Tai Po,"Tower 3, St Martin",13/07/2022,
Tai Po,Nam Shing Court,12/07/2022,
Tai Po,Tai Om Village,12/07/2022,
Tai Po,Fullview Court,12/07/2022,
Tai Po,"Tower 1, Mont Vert",12/07/2022,
Tai Po,"Block 7, Parc Versailles",12/07/2022,
Tai Po,Kwong Fuk Square,12/07/2022,
Tai Po,127 Kwong Fuk Road,12/07/2022,
Tai Po,Tak Kay Building,12/07/2022,
Tai Po,6 Wai Yan Street,12/07/2022,
Tai Po,Wai Dai Building,12/07/2022,
Tai Po,"Block 22, Classical Gardens",12/07/2022,
Tai Po,"Block 4, Cypress",12/07/2022,
Tai Po,"Block D, Treasure Garden",12/07/2022,
Tai Po,"Block 2, Grand Palisades",11/07/2022,
